;Auction;Auction_Close;Auction_No;By;Color;Condition;Date;Date_High;Date_Low;Estimate;Estimate_High;Estimate_Low;Image;Lot;Publication;Size;Size_Cm;Size_Cm_H;Size_Cm_W;Size_Inches;Sold_For;Subject;Text;Title
0;163 -  6/14/2017;6/14/2017;163; Nicholas de Fer; hand color; B+  ; 1705      ;;1705;$150.00 - $180.00;180.00;150.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-001A.jpg;1; ; 13.5 x 9.1 inches 34.3 x 23.2 cm ;34.3x23.2;23.2;34.3;13.5x9.1; 180.00; Title Pages;"

The title is displayed on a drape with a magnificent coat of arms below, flanked with putti and other allegorical figures engaged in surveying, measuring and drafting maps.

There are some light creases in the sheet, one rust spot, light soiling, and a few short marginal tears.  There is some color in the lettering, else uncolored.






";"Lot #1: ""L'Atlas Curieux ou le Monde Represente dans des Cartes Generales et Particulieres du Ciel et de la Terre..."" Nicholas de Fer
"
1;163 -  6/14/2017;6/14/2017;163; Thomas, Cowperthwait & Co.; printed color; B+  ; 1854      ;;1854;$70.00 - $90.00;90.00;70.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-002A.jpg;2; ; 8.7 x 14.5 inches 22.1 x 36.9 cm ;22.1x36.9;36.9;22.1;8.7x14.5; 35.00; Title Pages;"

This handsome title page is a very early chromolithograph by P.S. Duval.  It shows Columbus and his crew giving thanks to God for their safe journey while natives watch in the background.  The lot also includes the table of contents for the atlas, surrounded by a lovely decorative border.  

Light toning and soiling with a damp stain along the bottom edge of both sheets.






";"Lot #2: ""[Lot of 2] A New Universal Atlas Containing Maps of the Various Empires, Kingdoms, States and Republics of the World... [and] Table of Contents"" Thomas, Cowperthwait & Co.
"
2;163 -  6/14/2017;6/14/2017;163; Sebastian Munster; hand color; B+  ; 1550      ;;1550;$2,000.00 - $2,300.00;2300.00;2000.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-003A.jpg;3; Cosmographia; 15 x 10.4 inches 38.1 x 26.5 cm ;38.1x26.5;26.5;38.1;15x10.4; 2200.00; World;"

This famous woodblock map is presented on an oval projection surrounded by clouds and wind heads with the title above the map.  The continents are shown in rough outline only.  North America is shown with the large cleft nearly separating the east coast from the continent, often referred to as the Sea of Verazano.  What appears to be a large 
Northwest Passage
 stretches towards Asia.  South America has a very strange shape as well.  In Africa, the Nile is prominently shown with its twin sources beginning in a range of southern mountains. The mythical islands of 
Grisonum
 and 
Calensuan
 are placed in the proximity of Australia, where there is also the label 
Mare Pacificum
.  A sailing ship and several fierce sea monsters occupy the oceans.  Initials of the engraver David Kandel in lower left-hand corner.  This is the second 'modern' world map to appear in Munster's 
Cosmographia
, published between 1550 and 1578.  This example is from a Latin edition, with Latin text on verso.

Light toning, one tiny hole in the image, marginal soiling, and a few small chips confined to the blank margins that have been professionally repaired.


Ref:
 Shirley #92; Manasek #12.






";"Lot #3: ""Typus Orbis Universalis"" Sebastian Munster
"
3;163 -  6/14/2017;6/14/2017;163; Munster/Petri; hand color; B   ; 1588      ;;1588;$850.00 - $1,000.00;1000.00;850.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-004A.jpg;4; Cosmographey...; 14.2 x 12.3 inches 36.1 x 31.3 cm ;36.1x31.3;31.3;36.1;14.2x12.3; 800.00; World;"

This oval woodcut world map appeared in the later editions of Munster's 
Cosmographia
 that were published by Sebastian Petri, the son of Munster's step-son, Henricus Petri.  The map of the ""modern"" world is based on Ortelius' map of 1570.  It is surrounded by a floral and vine leaf pattern and two strapwork cartouches containing German text.  The gothic German title is in the upper margin.  Interesting cartographic features of the map include a huge southern continent and a Northern Passage (both Northwest and Northeast) to Asia.  The map includes several tiny ships and sea monsters.  German text and illustration on verso.

Moderate toning and light soiling with several extraneous creases that have been pressed flat.  Fully backed in thin archival tissue to repair two small holes, a 2"" centerfold separation near the top, and an adjacent 1"" tear.  Examples of this map are typically found in lesser condition, as they were printed on poor quality paper.


Ref:
 Shirley #163; Shirley (BL Atlases) T.MUN-1-l #1.






";"Lot #4: ""Die Erst General Tafel / die Beschreibung und den Circkel des Gantzen Erdtrichs und Meers Innhaltende"" Munster/Petri
"
4;163 -  6/14/2017;6/14/2017;163; Nicolas Visscher; hand color; A   ; 1657      ;;1657;$1,800.00 - $2,100.00;2100.00;1800.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-005A.jpg;5; ; 18.7 x 12.2 inches 47.5 x 31.0 cm ;47.5x31.0;31.0;47.5;18.7x12.2; 1800.00; World;"

An exquisitely decorated double hemisphere world map, surrounded by engravings including allegorical representations of the continents as well as native inhabitants and wildlife.  This is Visscher's first world map to be included in Dutch Bibles.  It was so popular that the surrounding decorations were copied by several other cartographers.  Two celestial spheres are displayed in the Eastern Hemisphere.  In the lower part of the Western Hemisphere text describes the discovery of America and recent voyages of discovery.  Two diagrams depicting the Ptolemaic and Copernican theories of the solar system are tucked between the hemispheres.  The northwest coast of North America is exaggerated and shows California correctly as a peninsula.  Parts of Australia and 
Van Diemen's Land
 are shown but the north and east coasts of Australia are not depicted.  Dutch text on verso.

A dark impression on watermarked paper, issued folding.  There is one archivally repaired tear at bottom left that just crosses the neatline.


Ref:
 Shirley #401; Poortman & Augusteijn #83.






";"Lot #5: ""Orbis Terrarum Typus de Integro in Plurimis Emendatus, Auctus, et Icunculis Illustratus"" Nicolas Visscher
"
5;163 -  6/14/2017;6/14/2017;163; Herman Moll; hand color; B   ; 1719      ;;1719;$4,750.00 - $6,000.00;6000.00;4750.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-006A.jpg;6; ; 47.8 x 27.7 inches 121.5 x 70.4 cm ;121.5x70.4;70.4;121.5;47.8x27.7; 3500.00; World;"

This spectacular map on Mercator's projection is one of the largest world maps ever produced for an atlas.  The cartographic details include the prominent 
insular California
 and recent discoveries in the South Pacific and northern Japan.  There is a large inset of the North Pole depicting the potential regions where either a 
Northwest, or Northeast, Passage
 might soon be found.  Correspondingly, the tracks of Henry Hudson, Thomas James, Willem Barents, in their search for this elusive northern passage to Asia, are traced on the map.  Another inset world map shows the magnetic variations of the compass in the Atlantic and Indian Oceans based on recent English observations with Woodes Rogers' corresponding track through the Pacific shown on the large map.  The trade winds and currents are graphically shown in the oceans.  The map is filled with fascinating comments and annotations including Moll's advertisement for a new set of maps, in which he warns his clients not to purchase or subscribe to inferior works, such as those of Moses Pitt.  The superb title cartouche, designed by Louis Cheron, features allegorical scenes representing Christianity and paganism, and unusual 
male
 figures representing the continents: a knight for Europe; a Turkish soldier for Asia; and native warriors for both America and Africa; and a resting, but watchful, lion representing Britain.  A secondary title is contained in a rectangular cartouche at bottom.  The map consists of four joined sheets.  


Herman Moll was one of Britain's most prominent cartographers of the first half of the 18th century.  He emigrated from Germany and went to work as an engraver for Moses Pitt in 1678.  Soon he joined one of London's most interesting social circles, which gathered at Jonathan's Coffee House, and included stock speculators, scientists, archaeologists, authors, pirates, and sea-captains.  From these friends, Moll gained a great deal of privileged information that he compiled into his cartographic works.  Moll's success and prosperity was due in part to his social connections and political astuteness, and to his distinctive style and quality workmanship.  He produced a great number of often-innovative maps, charts, globes, atlases and geographies.  His best known works are the large maps produced for his 
World Described
 (and also published separately) including this world map and the famous 
Beaver
 and 
Codfish
 maps of North America.

Issued folding and now flattened and backed with paper to reinforce and repair four edge tears at left and top ranging in size from 2"" to 7"" as well as a few minor fold separations.  The sheet is lightly toned with scattered foxing and a faint damp stain along the bottom border.


Ref:
 Shirley (BL Atlases) T.MOLL-4b-2; Wagner (NW) #512.






";"Lot #6: ""A New & Correct Map of the Whole World Shewing ye Situation of Its Principal Parts. Viz the Oceans, Kingdoms, Rivers, Capes, Ports, Mountains, Woods, Trade-Winds, Monsoons, Variations of ye Compass, Climats, &c..."" Herman Moll
"
6;163 -  6/14/2017;6/14/2017;163; Capt. William Dampier; uncolored; B+  ; 1723      ;;1723;$275.00 - $350.00;350.00;275.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-007A.jpg;7; Nouveau Voyage Autour du Monde; 11.5 x 6.3 inches 29.3 x 16.0 cm ;29.3x16.0;16.0;29.3;11.5x6.3; 200.00; World;"

This striking double-hemisphere world map traces the route of explorer William Dampier across the globe.  It shows 
California as an island
, with the 
Strait of Anian
 appearing to the north.  The only other details in what would become the United States are a few unnamed rivers and three large place names: 
Virginie
 and 
Floride
 in the southeast, and 
 N. Mexique
 in the southwest.  In between Japan and the vague northwestern coast of North America is 
Terre de la Compagnie
.  New Guinea is attached to an Australia with incomplete borders, while New Zealand is represented as just a single unfinished coastline.  From the French edition of Dampier's 
New Voyage Round the World
.

A dark impression on a clean sheet which has been trimmed past the neatline at top left.  There is a faint damp stain at top left and a short binding tear at lower right that has been closed on verso with archival materials.






";"Lot #7: ""Mappe-Monde"" Capt. William Dampier
"
7;163 -  6/14/2017;6/14/2017;163; ; hand color; A   ; 1725      ;;1725;$275.00 - $350.00;350.00;275.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-008A.jpg;8; ; 12.2 x 6.9 inches 31.0 x 17.6 cm ;31.0x17.6;17.6;31.0;12.2x6.9; 170.00; World;"

This small, uncommon map of the world was designed to trace the route of Robinson Crusoe, the fictional character from the novel by Daniel Defoe.  First appearing in 1719, 
The Life and Strange Surprizing Adventures of Robinson Crusoe
 was initially published as written by Crusoe himself, leading many to believe he was a real person.  This map shows Crusoe's route through the Atlantic and Indian Oceans.  Geographically, the map continues several geographical misconceptions that were prevalent at the beginning of the 18th century.  
California is shown as an island
 and Greenland is still connected to Canada.  Japan is shown as one elongated island,with another partially delineated landmass to the east.  A number of areas remain uncharted, including the northwest coast of North America and much of Australia and New Zealand.

An excellent example, issued folding, with minor toning along the edges of the sheet.






";"Lot #8: ""Mappe-Monde ou Carte Generale de la Terre, sur la Quelle est Trace le Voyage de Robinson Crusoe"" 
"
8;163 -  6/14/2017;6/14/2017;163; Giuseppe Molini; hand color; B+  ; 1807      ;;1807;$475.00 - $600.00;600.00;475.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-009A.jpg;9; ; 25.2 x 13.3 inches 64.0 x 33.8 cm ;64.0x33.8;33.8;64.0;25.2x13.3; 250.00; World;"

This rare double-hemispheric world map is displayed on an unusual projection, with the North Pole and South Pole falling about a third of the way down or up on the Paris Meridian Line.  The seas are filled with the tracks of various explorers including the Polo family, Pigafetta/Magellan, Cook, and Vancouver.  Cartographically, the 
Sea of the West
 makes a very late appearance on a map allowing for a clear Northwest Passage, and Tasmania is still connected to Australia.  Includes a panel of French text at bottom.

There is light offsetting and light toning, which is slightly more prominent along the centerfold.  A short centerfold separation at bottom is confined to the blank margin.






";"Lot #9: ""Nouvelle Mappemonde avec les Dernieres Decouvertes et les Voyages des Plus Celebres Voyageurs"" Giuseppe Molini
"
9;163 -  6/14/2017;6/14/2017;163; ; hand color; B   ; 1865      ;;1865;$400.00 - $500.00;500.00;400.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-010A.jpg;10; ; 10.8 x 6.9 inches 27.5 x 17.6 cm ;27.5x17.6;17.6;27.5;10.8x6.9;-10000; Cartographic Miscellany, United States Puzzle;"

This rare, complete, and early puzzle map of the United States was produced by Jacob Shaffer in Philadelphia.  Shaffer was one of several Philadelphia-based firms including Thomas Wagner, M.H. Traubel, and Davis, Porter & Co. who were competing against the larger Milton Bradley and McLaughlin Brothers in this growing category.  The map is dated circa 1865 as Wyoming Territory had not yet been organized from Dakota Territory (here shown as attached to Dakota), and Nevada has not yet gained its southern tip from Arizona and eastern portion from Utah.  The 24-piece puzzle is made from thick, 3/8"" wood and is housed in a solid wood box with paper title label attached to the top featuring the United States seal.  The banner is filled with a quote from Shakespeare's 
Titus Andronicus
 stating ""The Eagle Suffers Little Birds To Sing.""


The surface of the puzzle is lightly soiled with a small chip missing from one piece on the right border.  There are minor abrasions and small holes in the corners from where it was presumably mounted.  The original box is very good with minor soiling to title label.


Ref:
 Williams [The Jigsaw Puzzle] p. 24






";"Lot #10: ""New Dissected Map of the United States"" 
"
